A	/阿/阿马米/蛾/峨/俄/娥/贺/我/芽/牙/雅/亚/娅/
Abdikadirov	/阿卜迪卡迪罗夫/
Abdikadirovich	/阿卜迪卡迪罗维奇/
Abdikasim	/阿卜迪卡西姆/
Abdilah	/阿卜杜拉/
Abdilda	/阿布季尔达/
Abdildin	/阿布季尔金/
Abdillah	/阿卜杜拉/
Abdillahi	/阿卜杜拉希/
Abdille	/阿卜杜拉/
Abdilleh	/阿卜杜拉/
Abdimir	/阿布季米尔/
Abdimomunov	/阿布季莫穆诺夫/
Abdin	/阿卜丁/
Abdinabi	/阿布季纳比/
Abdine	/阿卜丁/
Abdiqasim	/阿卜迪卡西姆/
Abdir	/阿布季尔/
Abdirahman	/阿卜迪－拉赫曼/
Abdirakhmanov	/阿卜迪拉赫曼诺夫/
Abdirashid	/阿卜迪－拉希德/
Abdirhman	/阿卜迪－拉赫曼/
Abdirov	/阿布季罗夫/
Abdirzakov	/阿布季尔扎科夫/
Abdisalam	/阿卜迪－萨拉姆/
Abdiu	/阿布迪乌/
Abdivait	/阿布季瓦伊特/
Abdiya	/阿卜迪亚/
Abdiyev	/阿布季耶夫/
Abdnor	/阿布德诺/
Abdo	/阿卜杜/阿布多/
Abdo-Rabbo	/阿卜杜－拉布/
Abdol	/阿卜杜勒/
Abdol-Karim	/阿卜杜勒－卡里姆/
Abdol-Reza	/阿卜杜勒－礼萨/
Abdolalizadeh	/阿卜杜拉利扎德/
Abdolhossein	/阿卜杜勒－侯赛因/
Abdoll	/阿卜杜勒/
Abdollah	/阿卜杜拉/
Abdolov	/阿布多洛夫/
Abdolrahim	/阿卜杜勒拉希姆/
Abdolvahed	/阿卜杜勒瓦希德/
Abdon	/阿卜敦/阿布东/阿夫东/
Abdool	/阿卜杜勒/
Abdor	/阿卜杜勒/
Abdorreza	/阿卜杜勒－礼萨/
Abdou	/阿卜杜/
Abdou-Laye	/阿卜杜拉耶/
Abdouche	/阿卜杜什/
Abdoul	/阿卜杜勒/
Abdoul-Hamid	/阿卜杜勒－哈米德/
Abdoulaye	/阿卜杜拉耶/
Abdoulbar	/阿卜杜勒巴尔/
Abdoulbastu	/阿卜杜勒－巴斯图/
Abdoulkader	/阿卜杜勒－卡德尔/
Abdoulkarim	/阿卜杜勒－卡里姆/
Abdoulmajid	/阿卜杜勒－马吉德/
Abdoulmoumine	/阿卜杜勒－穆明/
Abdoulrahamane	/阿卜杜拉赫曼/
Abdoulwahab	/阿卜杜勒－瓦哈卜/
Abdoun	/阿卜敦/
Abdouni	/阿卜杜尼/
Abdourahamane	/阿卜杜拉赫曼/
Abdourahim	/阿卜杜拉希姆/
Abdourahmane	/阿卜杜拉赫曼/
Abdrabbo	/阿卜杜－拉布/
Abdraev	/阿布德拉耶夫/
Abdrahamane	/阿卜杜勒－拉赫曼/
Abdraimov	/阿布德赖莫夫/
Abdrakhimov	/阿布德拉希莫夫/
Abdrakhmanov	/阿布德拉赫曼诺夫/
Abdrakhmanovich	/阿布德拉赫曼诺维奇/
Abdrakmanov	/阿布德拉克马诺夫/
Abdramanov	/阿布德拉马诺夫/
Abdrashitov	/阿布德拉希托夫/
Abdrayev	/阿布德拉耶夫/
Abdrazyakov	/阿布德拉贾科夫/
Abdrezyakov	/阿布德列贾科夫/
Abdrikhimov	/阿布德里希莫夫/
Abdu	/阿卜杜/
Abdu-Dzhalil	/阿卜杜－贾利勒/
Abdual	/阿卜杜勒/
Abdualiev	/阿卜杜阿利耶夫/
Abdualim	/阿卜杜阿利姆/
Abduazimov	/阿卜杜阿齐莫夫/
Abdudzhalil	/阿卜杜贾利勒/
Abdugafar	/阿卜杜加法尔/
Abdugafur	/阿卜杜加富尔/
Abdugani	/阿卜杜加尼/
Abduganiyevich	/阿卜杜加尼耶维奇/
Abdugany	/阿卜迪加内/
Abdugulov	/阿卜杜古洛夫/
Abdukadir	/阿卜杜卡迪尔/
Abdukadirov	/阿卜杜卡迪罗夫/
Abdukadyrov	/阿卜杜卡迪罗夫/
Abdukadyrovich	/阿卜杜卡迪罗维奇/
Abdukarimov	/阿卜杜卡里莫夫/
Abdukhakim	/阿卜杜哈基姆/
Abdul	/阿卜杜勒/
Abdul-Aziz	/阿卜杜勒－阿齐兹/
Abdul-Baset	/阿卜杜勒－巴塞特/
Abdul-Hadi	/阿卜杜勒－哈迪/
Abdul-Halim	/阿卜杜勒－哈利姆/
Abdul-Jalil	/阿卜杜勒－贾利勒/
Abdul-Maged	/阿卜杜勒－马吉德/
Abdul-Mohsin	/阿卜杜勒－穆赫辛/
Abdul-Nabi	/阿卜杜勒－纳比/
Abdul-Rahim	/阿卜杜勒－拉希姆/
Abdul-Rahman	/阿卜杜勒－拉赫曼/
Abdul-Razzak	/阿卜杜勒－拉扎克/
Abdul-Salam	/阿卜杜勒－萨拉姆/
Abdul-Samad	/阿卜杜勒－萨马德/
Abdul-Wahab	/阿卜杜勒－瓦哈卜/
Abdul-Wahhab	/阿卜杜勒－瓦哈卜/
Abdula	/阿卜杜拉/
Abdulabekov	/阿卜杜拉别科夫/
Abduladzhanov	/阿卜杜拉贾诺夫/
Abdulaev	/阿卜杜拉耶夫/
Abdulah	/阿卜杜拉/
Abdulahi	/阿卜杜拉希/
Abdulahovic	/阿卜杜拉霍维奇/
Abdulai	/阿卜杜拉伊/
Abdulajanov	/阿卜杜拉贾诺夫/
Abdulakhad	/阿卜杜勒阿哈德/
Abdulakhatov	/阿卜杜拉哈托夫/
Abdulamin	/阿卜杜勒阿明/
Abdulatipov	/阿卜杜拉季波夫/
Abdulaye	/阿卜杜拉耶/
Abdulayev	/阿卜杜拉耶夫/
Abdulayevich	/阿卜杜拉耶维奇/
Abdulazhanov	/阿卜杜拉贾诺夫/
Abdulaziz	/阿卜杜勒阿齐兹/
Abdulcasim	/阿卜杜勒－卡西姆/
Abdulgamid	/阿卜杜勒哈米德/
Abdulganeyev	/阿卜杜勒加涅耶夫/
Abdulgani	/阿卜杜勒－加尼/
Abdulgapov	/阿卜杜勒加波夫/
Abdulghani	/阿卜杜勒－加尼/
Abdulhalim	/阿卜杜勒/
Abdulhaluk	/阿卜杜勒哈卢克/
Abdulhamid	/阿卜杜勒－哈米德/
Abduli	/阿卜杜利/
Abdulic	/阿卜杜利奇/
Abdulin	/阿卜杜林/
Abdulkader	/阿卜杜勒卡德尔/
Abdulkaderov	/阿卜杜勒卡德罗夫/
Abdulkadir	/阿卜杜勒/
Abdulkadyp	/阿卜杜勒卡迪尔/
Abdulkareem	/阿卜杜勒－卡里姆/
Abdulkerim	/阿卜杜勒/
Abdulkhafiz	/阿卜杜勒哈菲兹/
Abdulkhak	/阿卜杜勒哈克/
Abdulkhakov	/阿卜杜勒哈科夫/
Abdulkhalyk	/阿卜杜勒哈利克/
Abdulkhanov	/阿卜杜勒哈诺夫/
Abdulkhay	/阿卜杜勒哈伊/
Abdulkhayerov	/阿卜杜勒哈耶罗夫/
Abdulla	/阿卜杜拉/
Abdulla-Khan	/阿卜杜拉·汗/
Abdulladzhanov	/阿卜杜拉贾诺夫/
Abdullaev	/阿卜杜拉耶夫/
Abdullaeva	/阿卜杜拉耶娃/
Abdullah	/阿卜杜拉/
Abdullahe	/阿卜杜拉希/
Abdullahi	/阿卜杜拉希/
Abdullatif	/阿卜杜勒－拉蒂夫/
Abdullayev	/阿卜杜拉耶夫/
Abdullayevich	/阿卜杜拉耶维奇/
Abdullazhon	/阿卜杜拉琼/
Abdulle	/阿卜杜拉/
Abdulleh	/阿卜杜拉/
Abdullin	/阿卜杜林/
Abdulloyev	/阿卜杜洛耶夫/
Abdulmadzhid	/阿卜杜勒马吉德/
Abdulmalik	/阿卜杜－马利克/
Abdulmanov	/阿卜杜勒马诺夫/
Abdulmeawla	/阿卜杜勒－穆拉/
Abdulmejid	/阿卜杜勒－马吉德/
Abdulmenaf	/阿卜杜勒梅纳夫/
Abdulmenar	/阿卜杜勒梅纳尔/
Abdulmohsen	/阿卜杜勒－穆赫辛/
Abdulmoula	/阿卜杜勒－穆拉/
Abdulmughni	/阿卜杜勒－穆格尼/
Abdulmumini	/阿卜杜勒－穆米尼/
Abdulov	/阿卜杜洛夫/
Abdulovic	/阿卜杜洛维奇/
Abdulovski	/阿卜杜洛夫斯基/
Abdulqayyum	/阿卜杜勒－加尧姆/
Abdulrachman	/阿卜杜勒－拉赫曼/
Abdulragim	/阿卜杜勒拉希姆/
Abdulrahim	/阿卜杜勒－拉希姆/
Abdulrahman	/阿卜杜勒－拉赫曼/
Abdulrazak	/阿卜杜勒－拉扎克/
Abdulsalaam	/阿卜杜勒－萨拉姆/
Abdulsamed	/阿卜杜勒萨米德/
Abdulsemet	/阿卜杜勒/
Abdulvahap	/阿卜杜勒/
Abdulvakhitov	/阿卜杜勒瓦希托夫/
Abdulveliyev	/阿卜杜勒韦利耶夫/
Abdulwahab	/阿卜杜勒－瓦哈卜/
Abdulzhalilov	/阿卜杜勒扎利洛夫/
Abdumalik	/阿卜杜马利克/
Abdumomunov	/阿卜杜莫穆诺夫/
Abdunazarov	/阿卜杜纳扎罗夫/
Abdur	/阿卜杜勒/
Abduragim	/阿卜杜拉希姆/
Abduragimov	/阿卜杜拉希莫夫/
Abdurahim	/阿卜杜－拉希姆/
Abdurahman	/阿卜杜勒－拉赫曼/
Abdurahmanovic	/阿卜杜拉赫曼诺维奇/
Abdurakhim	/阿卜杜拉希姆/
Abdurakhimov	/阿卜杜拉希莫夫/
Abdurakhman	/阿卜杜拉赫曼/
Abdurakhmanov	/阿卜杜拉赫马诺夫/
Abdurakhmetov	/阿卜杜拉赫梅托夫/
Abdurakhmon	/阿卜杜拉赫蒙/
Abdurakhmonov	/阿卜杜拉赫莫诺夫/
Abdurashid	/阿卜杜勒－拉希德/
Abdurashidov	/阿卜杜拉希多夫/
Abdurashitov	/阿卜杜拉希托夫/
Abdurauf	/阿卜杜拉乌夫/
Abdurazak	/阿卜杜拉扎克/
Abdurazakov	/阿卜杜拉扎科夫/
Abdurazyk	/阿卜杜拉济克/
Abdurazzakov	/阿卜杜拉扎科夫/
Abdurehim	/阿不都热衣木/
Abdurekhmenova	/阿卜杜勒赫梅诺娃/
Abdurragim	/阿卜杜拉希姆/
Abdurrahim	/阿卜杜勒－拉希姆/
Abdurrahman	/阿卜杜勒/阿卜杜勒－拉赫曼/
Abdurrakhman	/阿卜杜拉赫曼/
Abdurrauf	/阿卜杜勒－拉乌夫/
Abdurreda	/阿卜杜勒－里达/
Abdus	/阿卜杜勒/阿卜杜什/
Abdusalam	/阿卜杜萨拉姆/
Abdusalamov	/阿卜杜萨拉莫夫/
Abdusalem	/阿卜杜勒－萨利姆/
Abdusalom	/阿卜杜萨洛姆/
Abdusamatov	/阿卜杜萨马托夫/
Abdusattar	/阿卜杜萨塔尔/
Abdusattarov	/阿卜杜萨塔罗夫/
Abdusattor	/阿卜杜萨托尔/
Abdushakhidov	/阿卜杜沙希多夫/
Abdushukurov	/阿卜杜舒库罗夫/
Abdussamad	/阿卜杜勒－萨马德/
Abduvakhid	/阿卜杜瓦希德/
Abduvali	/阿卜杜瓦利/
Abduvaliev	/阿卜杜瓦利耶夫/
Abduvaliyev	/阿卜杜瓦利耶夫/
Abduylla-Shaik	/阿卜杜勒－沙伊克/
Abduzhabar	/阿卜杜扎巴尔/
Abduzhapar	/阿卜杜扎帕尔/
Abdy	/阿卜迪/阿布迪/
Abdyev	/阿布季耶夫/
Abdygany	/阿卜迪加内/
Abdygaziyev	/阿卜迪加济耶夫/
Abdykaarovich	/阿卜迪卡罗维奇/
Abdykadyrov	/阿卜迪卡迪罗夫/
Abdykalikov	/阿布德卡雷科夫/
Abdykarimov	/阿卜迪卡里莫夫/
Abdykasym	/阿卜迪卡西姆/
Abdykrimov	/阿卜迪克里莫夫/
Abdykulob	/阿卜迪库洛夫/
Abdyl	/阿卜杜勒/
Abdyldakanov	/阿卜杜勒达卡诺夫/
Abdyldayev	/阿卜杜勒达耶夫/
Abdyle	/阿卜杜勒/
Abdymanap	/阿卜迪马纳普/
Abdyrazakov	/阿卜迪拉扎科夫/
Abdysh	/阿布德什/
Abdyzhapar	/阿卜迪扎帕尔/
Abe	/阿拜/阿贝/阿倍/阿闭/阿边/阿部/阿闲/安倍/安闭/安边/安部/安陪/
Abeal	/阿韦亚尔/
Abeasis	/阿贝亚西/
Abeau	/阿博/
Abeb	/阿贝卜/
Abebe	/阿贝贝/
Abebola	/阿贝博拉/
Abebora	/阿贝博拉/
Abeca	/阿贝卡/
Abecasis	/阿维卡西斯/
Abecassis	/阿贝卡西/阿贝卡西斯/
Abecera	/阿贝塞拉/
Abeche	/阿贝谢/
Abecia	/阿贝西亚/
Abeck	/阿贝克/
Abecourt	/阿伯古/
Abed	/阿贝/阿比德/
Abede	/阿贝德/
Abedenigo	/阿贝德尼戈/
Abedimovski	/阿贝迪莫夫斯基/
Abedin	/阿贝丁/
Abedine	/阿卜丁/
Abedji	/阿贝吉/
Abednigo	/阿贝德尼戈/
Abeed	/阿比德/
Abeel	/阿比尔/
Abefors	/阿贝福什/
Abegao	/阿贝冈/
Abeger	/阿伯热/阿维赫尔/
Abegg	/阿贝格/阿维格/
Abegglen	/阿贝格伦/
Abegoaria	/阿贝戈阿里亚/
Abegue	/阿贝格/
Abeguile	/阿贝吉莱/
Abegyan	/阿别吉扬/
Abehashihito	/阿闩/
Abehsera	/阿贝塞拉/
Abei	/阿贝伊/阿部井/安部井/
Abeid	/阿贝德/
Abeida	/奥贝达/
Abeidarrahmane	/阿卜杜勒－拉赫曼/
Abeiderrahmane	/阿卜杜勒－拉赫曼/
Abeidi	/阿贝迪/
Abeidy	/奥贝迪/
Abeigon	/阿韦贡/
Abeijon	/阿韦洪/
Abeilard	/阿贝拉尔/
Abeilhe	/阿贝耶/阿韦列/
Abeilhon	/阿贝永/
Abeilhou	/阿贝尤/
Abeillard	/阿贝亚尔/
Abeille	/阿贝耶/
Abeilles	/阿贝耶/
Abeillon	/阿贝永/
Abeir	/阿贝尔/
Abeito	/阿贝托/
Abejar	/阿韦哈尔/
Abejarro	/阿韦哈罗/
Abejer	/阿韦赫尔/
Abejon	/阿贝永/阿韦洪/
Abeka	/阿韦卡/
Abekassis	/阿伯卡西/
Abekawa	/阿部川/安部川/
Abekhzer	/阿贝克泽/
Abekzer	/阿贝克泽/
Abel	/阿拜尔/阿贝尔/阿韦尔/埃比勒/埃布尔/
Abela	/阿贝拉/阿韦拉/
Abelaira	/阿贝莱拉/阿韦莱拉/
Abelairas	/阿韦莱拉斯/
Abelane	/阿伯拉纳/
Abelanet	/阿贝拉内/
Abelard	/阿贝拉尔/
Abelardo	/阿贝拉尔多/阿韦拉多/
Abelart	/阿贝拉尔/
Abeldyayev	/阿别利佳耶夫/
Abele	/阿贝莱/阿贝勒/阿伯莱/埃伯利/
Abeleanu	/阿贝莱亚努/
Abeledo	/阿韦莱多/
Abeleen	/阿贝伦/
Abelein	/阿贝莱因/
Abelend	/阿伯朗/
Abelenda	/阿韦伦达/
Abeler	/阿贝勒尔/
Abeles	/阿伯勒/埃伯利斯/奥拜莱什/
Abelev	/阿别列夫/
Abelha	/阿贝利亚/
Abelheira	/阿贝列拉/
Abelho	/阿贝略/
Abeli	/阿贝利/阿别利/
Abelian	/阿别良/
Abelin	/阿贝林/阿伯兰/
Abeling	/阿贝林/
Abelite	/阿别利捷/
Abeliuk	/阿韦柳克/
Abelius	/阿贝柳斯/
Abelkhairov	/阿别利海罗夫/
Abelkhanov	/阿别利哈诺夫/
Abell	/阿伯尔/埃布尔/
Abella	/阿贝拉/阿韦利亚/奥拜洛/
Abellan	/阿贝朗/阿韦良/
Abellanas	/阿韦利亚纳斯/
Abellaneda	/阿韦利亚内达/
Abellard	/阿贝拉尔/
Abelleira	/阿贝莱拉/阿韦列拉/
Abelli	/阿贝利/阿韦利/
Abellio	/阿贝利奥/
Abello	/阿贝洛/阿韦略/
Abellon	/阿韦利翁/
Abelman	/阿贝尔曼/
Abelmann	/阿贝尔曼/
Abeloff	/阿贝洛夫/
Abelon	/阿伯隆/
Abeloos	/阿伯洛/
Abelous	/阿布卢斯/
Abelov	/阿别洛夫/
Abelovich	/阿别洛维奇/
Abelovszki	/奥拜洛夫斯基/
Abelovszky	/奥拜洛夫斯基/
Abelow	/阿比洛/
Abels	/阿贝尔斯/埃布尔斯/
Abelsberg	/阿贝尔斯贝格/
Abelsen	/阿贝尔森/
Abelski	/阿别利斯基/
Abelsky	/阿别利斯基/
Abelson	/阿贝尔松/埃布尔森/
Abelsson	/阿贝尔松/
Abelsted	/阿贝尔斯泰德/
Abelt	/阿贝尔特/
Abely	/阿贝利/
Abelya	/阿别利娅/
Abelyan	/阿别良/
Abelyashev	/阿别利亚舍夫/
Abelyuk	/阿别柳克/
Aben	/阿边/阿文/
Abenante	/阿贝南特/
Abenavoli	/阿贝纳沃利/
Abencerrages	/阿文塞拉赫斯/
Abencerrajes	/阿文塞拉赫斯/
Abend	/阿本德/阿文德/
Abendano	/阿文达尼奥/
Abendanon	/阿本达农/
Abendoh	/阿本多/
Abendorff	/阿本多夫/
Abendroth	/阿本德罗思/阿本德罗特/
Abendschein	/阿本德沙因/
Abenesdra	/阿贝内斯德拉/
Abenezra	/阿韦内斯拉/
Abeng	/阿本/
Abengoa	/阿文戈亚/
Abengochea	/阿文戈切亚/
Abengoza	/阿文戈萨/
Abengozar	/阿文戈萨尔/
Abeni	/阿贝尼/
Abenia	/阿韦尼亚/
Abeniacar	/阿伯尼亚卡/阿韦尼亚卡/
Abenius	/阿贝尼乌斯/
Abeno	/阿倍野/阿部/阿部野/安部野/
Abenoja	/阿韦诺哈/
Abenojar	/阿韦诺哈/
Abenokadoudo	/阿闭门人/
Abenoroth	/阿贝诺罗特/
Abenouchi	/阿倍内/
Abenov	/阿别诺夫/
Abensera	/阿文塞拉/
Abensour	/阿邦苏尔/
Abenspero	/阿文斯佩罗/
Abent	/奥本特/
Abente	/阿文特/
Abenza	/阿文萨/
Abeodu	/阿贝奥杜/
Abeozen	/阿贝奥藏/
Aber	/阿贝/阿韦尔/
Abera	/阿贝拉/阿韦拉/
Aberani	/阿贝拉尼/
Aberard	/阿贝拉尔/
Aberasturi	/阿韦拉斯图里/
Aberbour	/阿贝布尔/
Aberconway	/阿伯康韦/
Abercorn	/阿伯康/
Abercrombie	/阿伯克龙比/
Abercromby	/阿伯克龙比/
Abercron	/阿贝尔克龙/
Aberdare	/阿伯代尔/
Aberdeen	/阿伯丁/
Aberdour	/阿伯道尔/
Abere	/阿贝雷/
Aberen	/阿贝伦/
Aberfeld	/阿贝费尔德/
Aberg	/阿韦尔格/奥贝里/
Abergavenny	/阿伯加文尼/
Abergel	/阿贝热尔/阿韦尔赫尔/
Aberhart	/埃伯哈特/
Aberich	/阿贝里希/
Aberico	/阿贝里科/
Aberik	/阿贝里克/
Aberils	/阿贝里尔斯/
Aberjoux	/阿贝茹/
Aberkane	/阿贝尔坎/
Aberkov	/阿别尔科夫/
Aberle	/阿贝莱/阿贝勒/阿伯利/
Aberlen	/阿贝朗/
Aberlenc	/阿贝朗/
Aberlic	/阿贝尔利奇/
Abermann	/阿贝尔曼/
Abern	/阿本/
Abernathy	/阿伯内西/
Abernethy	/阿伯内西/
Abernibesov	/阿别尔尼别索夫/
Abernot	/阿贝诺/
Abernu	/阿贝努/
Abero	/阿韦罗/
Abersfeller	/阿伯斯费勒/
Abersten	/阿贝尔斯滕/
Abert	/阿贝尔/阿贝特/艾伯特/奥贝尔特/
Aberturar	/阿韦尔图拉尔/
Aberturas	/阿韦尔图拉斯/
Aberuthven	/阿伯里文/
Abesadze	/阿别萨泽/
Abesamis	/阿韦萨米斯/
Abescat	/阿贝斯卡/
Abeselom	/阿贝塞洛姆/
Abeshiro	/阿部城/
Abeslam	/阿布萨拉姆/
Abeso	/阿贝索/
Abeson	/阿韦松/
Abesser	/阿贝塞尔/
Abessira	/阿贝西拉/
Abessol	/阿贝索尔/
Abessole	/阿贝索莱/
Abet	/阿贝特/奥拜特/
Abete	/阿贝特/阿韦特/
Abetelli	/阿贝泰利/
Abeti	/阿贝蒂/
Abetini	/阿贝蒂尼/
Abetone	/阿贝托内/
Abetono	/阿贝托诺/
Abetsedarski	/阿别采达尔斯基/
Abetsedarsky	/阿别采达尔斯基/
Abette	/阿贝特/
Abetti	/阿贝蒂/
Abety	/阿贝蒂/
Abetyan	/阿别强/
Abetz	/阿贝茨/
Abeuov	/阿别沃夫/
Abey	/阿拜/
Abeyagunawardene	/阿贝古纳瓦德纳/
Abeyasekera	/阿贝塞克拉/
Abeydeera	/阿贝迪拉/
Abeygoonewardena	/阿贝古纳瓦德纳/
Abeyratne	/阿贝拉特纳/
Abeysekara	/阿贝塞克拉/
Abeysinghe	/阿贝辛哈/
Abeysundera	/阿贝孙德拉/
Abeytua	/阿韦图亚/
Abeywadana	/阿贝瓦德纳/
Abeywickrema	/阿贝维克勒马/
Abeywickreme	/阿贝维克勒马/
Abezash	/阿贝扎什/
Abezgauz	/阿别兹高兹/
Abezguz	/阿别兹古兹/
Abezis	/阿伯齐/
Abezuela	/阿韦苏埃拉/
Abgar	/阿布加尔/
Abgarov	/阿布加罗夫/
Abgarovich	/阿布加罗维奇/
Abgaryan	/阿布加良/
Abgrall	/阿布格拉尔/
Abguar	/阿布瓜尔/阿夫瓜尔/
Abgueguen	/阿布格冈/
Abhamon	/阿巴蒙/
Abhay	/阿沛/
Abhayawardena	/阿巴亚瓦德纳/
Abhayawardhana	/阿巴亚瓦德纳/
Abherve	/阿贝尔韦/
Abhisit	/阿比西/
Abhyankar	/阿比安卡尔/
Abi	/阿比/阿维/
Abi-Ad	/阿比阿德/
Abi-Assi	/阿比－阿西/
Abi-Chahla	/阿比－沙赫拉/
Abi-Daher	/阿比－达希尔/
Abi-Farah	/阿比－法拉赫/
Abi-Faraj	/阿比－法拉杰/
Abi-Fares	/阿比－法拉斯/
Abi-Ghanem	/阿比－加奈姆/
Abi-Hachem	/阿比－哈希姆/
Abi-Haidar	/阿比－海达尔/
Abi-Haila	/阿比－哈伊拉/
Abi-Hanna	/阿比－汉纳/
Abi-Hassan	/阿比－哈桑/
Abi-Hatab	/阿比－哈塔卜/
Abi-Hatem	/阿比－哈特姆/
Abi-Jaber	/阿比－贾比尔/
Abi-Jeries	/阿比/
Abi-Kanaan	/阿比－卡纳安/
Abi-Karam	/阿比－卡拉姆/
Abi-Khalil	/阿比－哈利勒/
Abi-Kharas	/阿比－哈拉斯/
Abi-Khater	/阿比－哈特尔/
Abi-Khattar	/阿比－哈塔尔/
Abi-Kheir	/阿比－海尔/
Abi-Kherse	/阿比－赫尔斯/
Abi-Mansour	/阿比－曼苏尔/
Abi-Marouan	/阿比－马尔万/
Abi-Merhi	/阿比－迈尔希/
Abi-Mourched	/阿比－穆尔希德/
Abi-Nader	/阿比－纳迪尔/
Abi-Nahed	/阿比－纳希德/
Abi-Nassif	/阿比－纳西夫/
Abi-Rached	/阿比－拉希德/
Abi-Rafeh	/阿比－拉菲/
Abi-Saab	/阿比－萨阿卜/
Abi-Saad	/阿比－萨阿德/
Abi-Saada	/阿比－萨阿达/
Abi-Sarkis	/阿比－萨尔基斯/
Abi-Tayeh	/阿比－塔伊/
Abi-Waked	/阿比－瓦克德/
Abi-Warde	/阿比－瓦尔德/
Abi-Yaghi	/阿比－亚吉/
Abi-Yared	/阿比－亚里德/
Abi-Younes	/阿比－尤尼斯/
Abia	/阿维亚/
Abiad	/阿比阿德/
Abian	/阿维安/
Abianda	/阿维安达/
Abiants	/阿比安茨/
Abiathar	/阿拜亚撒/
Abib	/阿比布/
Abibi	/阿比比/
Abibon	/阿比邦/
Abibos	/阿比博斯/
Abicaran	/阿比卡朗/
Abich	/阿比希/
Abicht	/阿比希特/
Abid	/阿比德/
Abida	/阿比达/
Abidar	/阿比达尔/
Abidat	/阿比达特/
Abidi	/奥贝迪/
Abidia	/阿比迪亚/
Abidin	/阿比丁/
Abidine	/阿比丁/
Abidini	/阿比迪尼/
Abidinov	/阿比季诺夫/
Abidinpasa	/阿比丁帕夏/
Abido	/阿比杜/
Abidoh	/阿比多/
Abidon	/阿比东/
Abidor	/阿比多尔/
Abidov	/阿比多夫/
Abidri	/阿比德里/
Abidulin	/阿比杜林/
Abidulov	/阿比杜洛夫/
Abiduyev	/阿比杜耶夫/
Abidy	/阿比迪/
Abie	/阿比/
Abieda	/阿维达/
Abiega	/阿维加/
Abiel	/埃比尔/
Abienzo	/阿温索/
Abietar	/阿维塔尔/
Abigail	/阿比盖尔/阿维盖尔/
Abignente	/阿比年特/
Abignoli	/阿比尼奥利/
Abignoly	/阿比尼奥利/
Abihassira	/阿比阿西拉/
Abihssira	/阿比西拉/
Abijah	/阿拜贾/
Abiken	/阿比肯/
Abiker	/阿比克/
Abiki	/安引/罗曳/网引/
Abiko	/阿比古/阿孙/阿彦/阿珥古/安孙子/安彦/我孙/我孙古/我孙子/我彦/吾孙/吾孙子/吾彦/
Abikobe	/阿比古部/
Abil	/阿维尔/
Abild	/阿比尔/阿比尔德/
Abildua	/阿维尔杜瓦/
Abile	/阿比勒/
Abileah	/阿比莱亚/
Abilev	/阿比列夫/
Abilevich	/阿比列维奇/
Abilgaliyevich	/阿比尔加利耶维奇/
Abilio	/阿比利奥/阿维略/
Abillama	/阿比拉马/
Abillard	/阿比亚尔/
Abillio	/阿比利奥/
Abillon	/阿比永/
Abilov	/阿比洛夫/
Abilsiitov	/阿比尔西托夫/
Abim	/阿比姆/
Abimael	/阿维马埃尔/
Abimaola	/阿比马奥拉/
Abimbola	/阿宾博拉/
Abin	/阿宾/
Abinal	/阿比纳尔/
Abingdon	/阿宾登/
Abinger	/阿宾杰/
Abiniente	/阿比尼恩特/
Abinir	/阿比尼尔/
Abino	/阿比野/阿维诺/
Abinun	/阿比南/阿比农/
Abinzano	/阿温萨诺/
Abio	/阿维奥/
Abiola	/阿比奥拉/
Abion	/阿比翁/
Abioseh	/阿比奥塞/
Abiprix	/阿比普里/
Abir	/阿比尔/
Abira	/安平/安蒜/蛤良/
Abirached	/阿比拉谢/
Abire	/阿毗缘/
Abirsitov	/阿比尔西托夫/
Abiru	/阿比留/阿毗留/阿蒜/阿蛭/畔蒜/
Abis	/阿比什/阿比斯/
Abisai	/阿比萨伊/
Abisel	/阿比塞尔/
Abisgil	/阿伯什吉尔/
Abish	/阿比什/
Abishakaev	/阿比沙卡耶夫/
Abishev	/阿比舍夫/
Abishevich	/阿比舍维奇/
Abishkin	/阿比什金/
Abisnor	/阿比斯诺尔/
Abisov	/阿比索夫/
Abisoye	/阿比索耶/
Abissino	/阿比西诺/
Abisso	/阿比索/
Abisti	/阿比斯蒂/
Abit	/阿比/阿比特/
Abita	/阿比塔/
Abitabile	/阿比塔比莱/
Abitante	/阿比坦特/
Abitare	/阿比塔雷/
Abitbol	/阿维特沃尔/
Abitini	/阿比蒂尼/
Abitov	/阿比托夫/
Abittan	/阿比唐/
Abitz	/阿比茨/
Abiusi	/阿比乌西/
Abiuso	/阿比乌索/
Abivain	/阿比万/
Abiven	/阿比旺/
Abivon	/阿比冯/
Abiya	/阿比娅/
Abiye	/阿比耶/
Abiyev	/阿比耶夫/
Abiyu	/阿比尤/
Abizanda	/阿维桑达/
Abizov	/阿比佐夫/
Abizu	/会津/
Abjac	/阿布雅克/
Abjak	/阿比亚克/
Abjat	/阿布雅/
Abjornsson	/奥比约恩松/
Abjta	/阿比塔/
Abk	/阿卜克/
Abkar	/阿卜卡尔/阿布卡尔/
Abkaryan	/阿布卡良/
Abkhasi	/阿布卡西/
Abkim	/阿布坎/
Abkin	/阿布金/阿布坎/
Abkine	/阿布金/
Abkowitz	/阿布科维茨/
Abla	/阿卜拉/阿夫拉/
